$A,2022-09-07 11:49,E8DB84DF97A9,3.58
$B,ESP_node_OTA_v6_4_12_13.ino  15:34:49  Jun 11 2022
YYYY-MM-DD hh:mm,Temp,Humid
$C,ESP_node_OTA_v2.ino  19:43:10  Apr 26 2022
2022-07-03 01:51,21,87
2022-07-03 01:56,21,86
2022-07-03 02:01,21,86
2022-07-03 02:06,21,86
2022-07-03 02:11,21,86
2022-07-03 02:16,21,86
2022-07-03 02:21,21,85
2022-07-03 02:26,21,85
2022-07-03 02:31,21,85
2022-07-03 02:36,21,86
2022-07-03 02:41,21,85
2022-07-03 02:46,21,85
2022-07-03 02:51,21,85
2022-07-03 02:56,21,85
2022-07-03 03:01,21,85
2022-07-03 03:06,21,85
2022-07-03 03:11,21,84
2022-07-03 03:16,21,85
2022-07-03 03:21,21,85
2022-07-03 03:26,21,85
2022-07-03 03:31,21,85
2022-07-03 03:36,21,85
2022-07-03 03:41,21,85
2022-07-03 03:46,21,85
2022-07-03 03:51,21,85
2022-07-03 03:56,21,85
2022-07-03 04:01,21,85
2022-07-03 04:06,21,85
2022-07-03 04:11,21,85
2022-07-03 04:16,21,87
2022-07-03 04:21,21,85
2022-07-03 04:26,21,85
2022-07-03 04:31,21,85
2022-07-03 04:36,21,85
2022-07-03 04:41,21,85
2022-07-03 04:46,21,85
2022-07-03 04:51,21,85
2022-07-03 04:56,21,85
2022-07-03 05:01,21,85
2022-07-03 05:06,21,86
2022-07-03 05:11,21,86
2022-07-03 05:16,21,86
2022-07-03 05:21,21,86
2022-07-03 05:26,21,86
2022-07-03 05:31,21,86
2022-07-03 05:36,21,86
2022-07-03 05:41,21,86
2022-07-03 05:46,21,86
2022-07-03 05:51,21,86
2022-07-03 05:56,21,86
2022-07-03 06:01,21,86
2022-07-03 06:06,21,86
2022-07-03 06:11,21,86
2022-07-03 06:16,21,86
2022-07-03 06:21,21,86
2022-07-03 06:26,21,86
2022-07-03 06:31,21,86
2022-07-03 06:36,21,87
2022-07-03 06:41,21,88
2022-07-03 06:46,21,86
