timestamp,temperature,rh
2023-01-14T07:39:47Z,12,81
2023-01-14T07:43:27Z,10,83
2023-01-14T07:44:46Z,11,81
2023-01-14T07:48:27Z,10,83
2023-01-14T07:49:45Z,11,82
2023-01-14T07:53:26Z,10,83
2023-01-14T07:54:45Z,11,81
2023-01-14T07:58:25Z,10,83
2023-01-14T07:59:44Z,11,81
2023-01-14T08:03:25Z,10,83
2023-01-14T08:04:44Z,11,81
2023-01-14T08:08:24Z,10,83
2023-01-14T08:09:43Z,11,81
2023-01-14T08:13:24Z,10,83
2023-01-14T08:14:43Z,11,81
2023-01-14T08:18:23Z,10,83
2023-01-14T08:19:42Z,11,81
2023-01-14T08:23:23Z,10,83
2023-01-14T08:24:42Z,11,81
2023-01-14T08:28:22Z,10,83
2023-01-14T08:29:41Z,11,81
2023-01-14T08:33:21Z,10,83
2023-01-14T08:34:40Z,11,81
2023-01-14T08:38:21Z,10,83
2023-01-14T08:39:40Z,11,81
2023-01-14T08:43:20Z,10,83
2023-01-14T08:44:39Z,11,81
2023-01-14T08:48:19Z,10,83
2023-01-14T08:49:39Z,11,81
2023-01-14T08:53:19Z,10,83
2023-01-14T08:54:38Z,11,81
2023-01-14T08:58:18Z,10,83
2023-01-14T08:59:37Z,11,81
2023-01-14T09:03:17Z,10,83
2023-01-14T09:04:37Z,11,81
2023-01-14T09:08:17Z,10,83
2023-01-14T09:09:36Z,11,81
2023-01-14T09:13:16Z,10,83
2023-01-14T09:14:36Z,11,81
2023-01-14T09:18:15Z,10,83
2023-01-14T09:19:34Z,11,81
2023-01-14T09:23:15Z,10,83
2023-01-14T09:24:34Z,11,81
2023-01-14T09:28:14Z,10,83
2023-01-14T09:29:34Z,11,81
2023-01-14T09:33:14Z,10,83
2023-01-14T09:34:34Z,12,80
2023-01-14T09:38:13Z,10,83
2023-01-14T09:39:33Z,12,80
2023-01-14T09:43:12Z,10,83
2023-01-14T09:44:32Z,12,80
2023-01-14T09:48:12Z,10,83
2023-01-14T09:49:32Z,12,79
2023-01-14T09:53:11Z,10,83
2023-01-14T09:54:32Z,12,79
2023-01-14T09:58:11Z,10,83
2023-01-14T09:59:31Z,12,79
2023-01-14T10:03:15Z,10,83
2023-01-14T10:04:31Z,12,78
2023-01-14T10:08:10Z,10,83
2023-01-14T10:09:30Z,12,78
2023-01-14T10:13:08Z,10,83
2023-01-14T10:14:30Z,13,78
2023-01-14T10:18:08Z,10,83
2023-01-14T10:19:29Z,13,78
2023-01-14T10:23:07Z,10,83
2023-01-14T10:24:28Z,13,78
2023-01-14T10:28:07Z,10,82
2023-01-14T10:29:27Z,13,78
2023-01-14T10:33:06Z,10,83
2023-01-14T10:34:27Z,13,78
2023-01-14T10:38:06Z,10,82
2023-01-14T10:39:26Z,13,76
2023-01-14T10:43:05Z,10,82
2023-01-14T10:44:26Z,13,76
2023-01-14T10:48:04Z,10,82
2023-01-14T10:49:25Z,13,76
2023-01-14T10:53:04Z,10,82
2023-01-14T10:54:25Z,13,76
2023-01-14T10:58:03Z,10,82
2023-01-14T10:59:24Z,13,76
2023-01-14T11:03:04Z,10,82
2023-01-14T11:04:24Z,13,76
2023-01-14T11:08:03Z,10,82
2023-01-14T11:09:23Z,13,76
2023-01-14T11:13:02Z,10,82
2023-01-14T11:14:23Z,13,75
2023-01-14T11:18:01Z,10,82
2023-01-14T11:19:22Z,13,75
2023-01-14T11:23:01Z,10,82
2023-01-14T11:24:21Z,13,75
2023-01-14T11:28:00Z,11,82
2023-01-14T11:29:21Z,13,75
2023-01-14T11:32:59Z,10,82
2023-01-14T11:34:20Z,13,76
2023-01-14T11:37:59Z,11,82
2023-01-14T11:39:21Z,13,75
2023-01-14T11:42:58Z,11,82
2023-01-14T11:44:19Z,14,75
2023-01-14T11:47:58Z,11,82
2023-01-14T11:49:18Z,14,75
2023-01-14T11:52:57Z,11,82
2023-01-14T11:54:17Z,14,75
2023-01-14T11:57:57Z,11,82
2023-01-14T11:59:17Z,14,75
2023-01-14T12:02:56Z,11,82
2023-01-14T12:04:16Z,14,75
2023-01-14T12:07:56Z,11,82
2023-01-14T12:09:16Z,13,75
2023-01-14T12:12:55Z,11,82
2023-01-14T12:14:16Z,13,75
2023-01-14T12:19:15Z,13,76
2023-01-14T12:22:54Z,11,82
2023-01-14T12:24:14Z,13,75
2023-01-14T12:27:53Z,11,82
2023-01-14T12:29:13Z,13,75
2023-01-14T12:32:53Z,11,82
2023-01-14T12:34:13Z,13,75
2023-01-14T12:37:52Z,11,81
2023-01-14T12:39:12Z,13,75
2023-01-14T12:42:52Z,11,82
2023-01-14T12:44:12Z,13,75
2023-01-14T12:47:51Z,11,81
2023-01-14T12:49:11Z,13,76
2023-01-14T12:52:51Z,11,81
2023-01-14T12:54:10Z,13,76
2023-01-14T12:57:50Z,11,81
2023-01-14T12:59:10Z,13,77
2023-01-14T13:02:49Z,11,81
2023-01-14T13:04:09Z,13,77
2023-01-14T13:07:49Z,11,81
2023-01-14T13:09:08Z,13,77
2023-01-14T13:12:48Z,11,81
2023-01-14T13:14:08Z,13,77
2023-01-14T13:17:48Z,11,81
2023-01-14T13:19:07Z,12,77
2023-01-14T13:22:47Z,11,81
2023-01-14T13:24:07Z,13,77
2023-01-14T13:27:46Z,11,81
2023-01-14T13:29:06Z,12,77
2023-01-14T13:32:46Z,11,81
2023-01-14T13:34:05Z,12,77
2023-01-14T13:37:45Z,11,81
2023-01-14T13:39:04Z,12,77
2023-01-14T13:42:45Z,11,81
2023-01-14T13:44:04Z,12,77
2023-01-14T13:47:44Z,11,82
2023-01-14T13:49:03Z,12,78
2023-01-14T13:52:43Z,11,81
2023-01-14T13:54:03Z,12,77
2023-01-14T13:57:43Z,11,81
2023-01-14T13:59:02Z,12,77
2023-01-14T14:02:45Z,11,81
2023-01-14T14:04:01Z,12,77
2023-01-14T14:07:42Z,11,81
2023-01-14T14:09:00Z,12,77
2023-01-14T14:12:41Z,11,81
2023-01-14T14:14:00Z,12,77
2023-01-14T14:17:41Z,11,81
2023-01-14T14:18:59Z,12,77
2023-01-14T14:22:40Z,11,82
2023-01-14T14:23:59Z,12,77
2023-01-14T14:27:39Z,11,82
2023-01-14T14:28:58Z,12,77
2023-01-14T14:32:39Z,11,82
2023-01-14T14:33:57Z,12,77
2023-01-14T14:37:38Z,10,82
2023-01-14T14:38:57Z,12,78
2023-01-14T14:42:38Z,10,82
2023-01-14T14:43:56Z,12,78
2023-01-14T14:47:37Z,10,82
2023-01-14T14:48:55Z,12,77
2023-01-14T14:52:36Z,10,82
2023-01-14T14:53:54Z,12,77
